timestamp,cpu_utilization,network_in,network_out,memory_usage,requests,error_rate,storage_free,billing_rate,cost_per_hour
2026-03-21T01:50:00+00:00,25.6545,17.75,182.61,33.32,757.9169,2.2545,15.16,1.6011,0.12375
2026-03-21T01:55:00+00:00,20.3907,14.85,163.93,36.19,1161.2393,3.513,15.24,1.1374,0.12375
2026-03-21T02:00:00+00:00,23.9521,15.92,137.84,20.13,1053.6147,2.1354,15.0,1.2694,0.12375
2026-03-21T02:05:00+00:00,23.423,17.47,206.17,4.85,1151.4513,0.9558,15.02,0.9734,0.12375
2026-03-21T02:10:00+00:00,21.0508,21.2,66.78,32.61,1087.345,2.729,14.65,1.4501,0.12375
2026-03-21T02:15:00+00:00,18.4151,15.62,183.01,22.91,1163.4871,3.794,14.85,1.8227,0.12375
2026-03-21T02:20:00+00:00,34.8849,14.59,241.05,19.24,1336.1015,0.0464,15.18,0.9937,0.12375
2026-03-21T02:25:00+00:00,18.8883,20.43,232.86,21.18,1272.761,4.2017,15.01,1.7774,0.12375
2026-03-21T02:30:00+00:00,17.6047,18.48,184.98,22.4,1521.201,4.006,15.07,1.3693,0.12375
2026-03-21T02:35:00+00:00,24.2041,13.84,153.44,34.38,1244.3353,2.7486,15.02,1.2651,0.12375
2026-03-21T02:40:00+00:00,23.1111,15.02,138.21,26.42,772.6383,3.7644,15.44,1.38,0.12375
2026-03-21T02:45:00+00:00,13.1713,15.7,153.39,34.29,1151.828,2.4302,14.91,1.3772,0.12375
2026-03-21T02:50:00+00:00,28.3361,16.3,192.0,28.76,1117.6088,3.1108,15.32,1.8171,0.12375
2026-03-21T02:55:00+00:00,21.0348,10.12,130.39,23.14,1420.0737,1.3687,15.02,1.4161,0.12375
2026-03-21T03:00:00+00:00,16.4256,10.69,208.03,23.93,756.2003,2.2316,15.34,1.4472,0.12375
2026-03-21T03:05:00+00:00,30.2239,13.05,270.77,30.6,1137.4777,0.7353,14.75,1.1584,0.12375
2026-03-21T03:10:00+00:00,26.8452,12.77,170.67,32.41,827.7223,4.527,15.03,1.5366,0.12375
2026-03-21T03:15:00+00:00,15.5039,13.92,112.19,33.64,1126.1262,5.0431,14.92,0.9978,0.12375
2026-03-21T03:20:00+00:00,33.7543,18.53,112.18,24.84,944.3032,4.7598,15.02,1.3176,0.12375
2026-03-21T03:25:00+00:00,27.044,15.63,208.91,27.89,1117.8571,1.1838,15.24,2.1498,0.12375
2026-03-21T03:30:00+00:00,23.03,16.95,170.77,30.76,645.4054,0.0925,15.07,0.5336,0.12375
2026-03-21T03:35:00+00:00,32.6325,11.84,213.48,23.98,1196.2965,4.5539,15.24,1.3548,0.12375
2026-03-21T03:40:00+00:00,24.047,14.58,149.16,18.72,1049.5048,3.0878,14.86,1.3663,0.12375
2026-03-21T03:45:00+00:00,22.9227,18.36,211.37,21.02,1036.0381,2.6572,14.83,1.2164,0.12375
2026-03-21T03:50:00+00:00,19.1294,18.38,166.28,24.98,1485.547,0.7327,15.0,1.2235,0.12375
2026-03-21T03:55:00+00:00,26.5823,13.63,140.09,31.3,902.369,2.8513,14.99,1.3123,0.12375
2026-03-21T04:00:00+00:00,27.095,17.78,160.04,36.53,1128.0535,0.1706,14.96,1.2283,0.12375
2026-03-21T04:05:00+00:00,24.3235,25.11,123.74,18.22,1067.5548,3.2681,14.8,1.3705,0.12375
2026-03-21T04:10:00+00:00,19.4955,17.13,269.04,23.53,1091.9969,4.7578,15.23,1.1576,0.12375
2026-03-21T04:15:00+00:00,25.015,14.7,173.93,25.21,1597.9381,5.2621,14.92,1.9106,0.12375
2026-03-21T04:20:00+00:00,23.8166,16.57,207.72,33.28,1058.4389,3.417,15.28,1.2283,0.12375
2026-03-21T04:25:00+00:00,16.2345,17.53,153.85,24.02,900.6672,0.764,15.0,1.4748,0.12375
2026-03-21T04:30:00+00:00,15.4045,16.65,130.36,24.71,1510.2128,2.3947,15.12,1.1032,0.12375
2026-03-21T04:35:00+00:00,27.6263,17.08,167.66,17.83,965.5649,6.2794,15.11,1.5839,0.12375
2026-03-21T04:40:00+00:00,8.6241,12.0,228.54,31.1,641.1926,0.2628,14.83,1.524,0.12375
2026-03-21T04:45:00+00:00,25.4678,13.73,154.58,26.59,857.2762,1.8816,15.07,1.4297,0.12375
2026-03-21T04:50:00+00:00,21.3669,16.66,138.63,23.14,730.8402,4.827,15.38,0.9957,0.12375
2026-03-21T04:55:00+00:00,32.0849,16.6,185.42,25.9,592.4957,3.2343,15.04,1.0782,0.12375
2026-03-21T05:00:00+00:00,21.9939,15.76,204.12,36.26,979.7055,6.9603,15.17,1.8218,0.12375
2026-03-21T05:05:00+00:00,28.9116,17.16,256.28,21.34,1052.9052,0.5343,15.13,1.0869,0.12375
2026-03-21T05:10:00+00:00,22.5732,18.02,197.5,22.48,1365.5912,0.0205,15.06,1.5082,0.12375
2026-03-21T05:15:00+00:00,25.6372,21.0,210.73,37.14,1227.8096,4.4483,15.03,1.0325,0.12375
2026-03-21T05:20:00+00:00,29.3757,17.44,214.16,28.91,1216.4178,0.3918,15.1,1.6184,0.12375
2026-03-21T05:25:00+00:00,22.1793,19.23,128.79,33.06,847.1567,1.6065,15.15,1.11,0.12375
2026-03-21T05:30:00+00:00,30.934,15.85,137.44,31.19,1291.6925,1.8687,14.72,1.027,0.12375
2026-03-21T05:35:00+00:00,18.9925,19.86,131.94,28.13,1418.2674,4.072,15.04,1.1022,0.12375
2026-03-21T05:40:00+00:00,26.7222,19.15,120.62,25.94,1169.102,3.2285,14.96,1.1498,0.12375
2026-03-21T05:45:00+00:00,30.4905,20.91,217.64,34.2,1176.0886,2.9141,14.91,1.4373,0.12375
2026-03-21T05:50:00+00:00,28.9149,20.36,194.59,36.51,754.2862,1.1951,15.25,1.3367,0.12375
2026-03-21T05:55:00+00:00,36.4533,19.92,184.99,35.96,1334.0682,4.43,14.85,0.9874,0.12375
2026-03-21T06:00:00+00:00,20.6194,17.65,64.17,20.3,1525.2076,10.0516,14.71,1.3116,0.12375
2026-03-21T06:05:00+00:00,16.9251,18.88,276.13,37.73,1160.7381,3.3826,15.15,0.9769,0.12375
2026-03-21T06:10:00+00:00,19.234,21.83,141.62,26.09,931.4107,2.1993,14.71,1.5131,0.12375
2026-03-21T06:15:00+00:00,29.1627,15.65,275.96,23.31,1039.5013,0.5957,14.61,1.5681,0.12375
2026-03-21T06:20:00+00:00,28.1875,15.74,116.31,27.41,974.8948,0.725,15.17,1.3128,0.12375
2026-03-21T06:25:00+00:00,25.8135,18.65,145.35,34.42,989.8876,1.5726,15.02,1.4015,0.12375
2026-03-21T06:30:00+00:00,18.4623,19.5,81.95,32.38,1241.9958,0.9308,15.09,1.8456,0.12375
2026-03-21T06:35:00+00:00,29.8012,15.03,198.91,26.81,1149.866,1.9678,14.9,1.2727,0.12375
2026-03-21T06:40:00+00:00,17.8518,17.73,132.18,34.46,1330.9842,5.556,14.72,1.0367,0.12375
2026-03-21T06:45:00+00:00,32.1537,17.66,133.47,29.58,1172.7256,4.4943,14.75,1.4938,0.12375
2026-03-21T06:50:00+00:00,42.3446,10.02,119.81,24.59,863.978,1.6823,14.94,0.9802,0.12375
2026-03-21T06:55:00+00:00,27.3987,17.21,217.85,23.64,954.827,0.4166,14.74,1.2568,0.12375
2026-03-21T07:00:00+00:00,28.4533,17.23,213.81,31.25,929.749,4.6747,15.05,1.1362,0.12375
2026-03-21T07:05:00+00:00,21.9975,17.22,263.99,27.8,1023.8417,1.9019,14.9,1.1054,0.12375
2026-03-21T07:10:00+00:00,14.0934,22.89,150.1,18.75,1519.1377,1.453,15.03,1.2409,0.12375
2026-03-21T07:15:00+00:00,21.3383,13.42,191.34,34.31,1559.1841,3.4249,15.02,1.5859,0.12375
2026-03-21T07:20:00+00:00,18.3973,14.83,122.57,25.01,1279.6095,4.0514,15.07,1.6476,0.12375
2026-03-21T07:25:00+00:00,16.2726,10.0,166.09,39.52,1100.1502,2.8518,15.09,1.5938,0.12375
2026-03-21T07:30:00+00:00,35.2888,16.06,157.7,18.55,730.0462,0.3509,14.92,1.4168,0.12375
2026-03-21T07:35:00+00:00,26.5918,16.37,202.54,27.11,1125.4613,1.7791,15.03,1.2386,0.12375
2026-03-21T07:40:00+00:00,27.2328,15.96,227.74,23.48,872.9574,3.469,15.04,0.6086,0.12375
2026-03-21T07:45:00+00:00,23.1005,21.78,226.56,21.55,1478.0897,0.9685,14.5,1.4262,0.12375
2026-03-21T07:50:00+00:00,23.9174,20.89,142.93,24.97,668.9328,0.3357,15.12,0.6321,0.12375
2026-03-21T07:55:00+00:00,30.742,18.08,226.89,40.77,1166.5803,3.4543,15.02,0.7389,0.12375
2026-03-21T08:00:00+00:00,24.0414,15.86,176.32,28.72,823.9273,1.0634,15.1,1.2554,0.12375
2026-03-21T08:05:00+00:00,27.4195,20.89,163.53,22.17,1040.1083,3.0841,14.73,1.3833,0.12375
2026-03-21T08:10:00+00:00,23.0594,17.13,146.02,14.92,1209.0042,0.223,14.93,1.1686,0.12375
2026-03-21T08:15:00+00:00,22.1825,14.25,152.79,15.67,1297.9793,0.7047,14.77,1.7646,0.12375
2026-03-21T08:20:00+00:00,80.9554,376.49,1140.0,100.0,10970.3114,146.7957,12.85,30.809,0.12375
2026-03-21T08:25:00+00:00,55.6491,468.13,1140.0,100.0,11555.1615,112.7969,12.23,23.0411,0.12375
2026-03-21T08:30:00+00:00,72.4771,424.49,893.52,100.0,5841.431,80.948,12.69,22.9138,0.12375
2026-03-21T08:35:00+00:00,130.4291,898.45,1140.0,78.36,12205.8984,55.9243,13.46,39.2195,0.12375
2026-03-21T08:40:00+00:00,78.2363,549.97,1140.0,100.0,12758.6652,48.2778,12.1,28.7666,0.12375
2026-03-21T08:45:00+00:00,109.3459,438.1,1140.0,100.0,10670.488,133.6967,12.52,20.3139,0.12375
2026-03-21T08:50:00+00:00,92.0451,323.09,817.72,100.0,7106.9241,93.4405,12.73,17.7853,0.12375
2026-03-21T08:55:00+00:00,36.3468,411.38,800.24,58.12,6518.7363,40.6634,12.87,11.6593,0.12375
2026-03-21T09:00:00+00:00,47.3306,177.31,660.43,70.78,7013.721,165.4917,12.69,14.254,0.12375
2026-03-21T09:05:00+00:00,130.4266,620.56,1140.0,100.0,7715.223,123.0035,13.87,20.6407,0.12375
2026-03-21T09:10:00+00:00,95.7411,481.88,799.73,100.0,5979.937,142.9007,12.1,18.6189,0.12375
2026-03-21T09:15:00+00:00,48.622,357.11,872.84,68.14,7194.3822,88.646,13.38,17.0782,0.12375
2026-03-21T09:20:00+00:00,79.7678,341.78,1140.0,100.0,6139.4694,158.6532,12.19,9.5353,0.12375
2026-03-21T09:25:00+00:00,120.9256,504.14,705.02,100.0,5471.4101,57.1269,12.24,15.615,0.12375
2026-03-21T09:30:00+00:00,81.3269,329.33,536.48,94.52,8154.1881,54.6997,12.58,13.8311,0.12375
2026-03-21T09:35:00+00:00,111.9181,445.34,1129.13,100.0,7486.7558,151.704,12.71,26.28,0.12375
2026-03-21T09:40:00+00:00,94.8358,713.93,1077.1,100.0,9235.5178,151.8971,13.89,22.1443,0.12375
2026-03-21T09:45:00+00:00,88.0457,455.13,1140.0,100.0,8006.7126,96.4687,13.35,22.8622,0.12375
2026-03-21T09:50:00+00:00,95.7266,469.07,1140.0,98.93,7112.0186,50.0818,12.84,16.5254,0.12375
2026-03-21T09:55:00+00:00,103.8872,215.11,1140.0,91.38,6929.897,73.5024,14.18,15.1657,0.12375
2026-03-21T10:00:00+00:00,105.3704,542.44,966.31,100.0,9676.3138,135.322,13.62,19.024,0.12375
2026-03-21T10:05:00+00:00,97.3916,588.28,1005.68,100.0,8768.9068,145.6552,11.63,21.6761,0.12375
2026-03-21T10:10:00+00:00,70.3467,267.23,401.99,98.61,6555.4648,80.3552,13.47,12.9005,0.12375
2026-03-21T10:15:00+00:00,80.8544,413.66,1109.8,100.0,5985.6322,41.0982,13.13,19.6587,0.12375
2026-03-21T10:20:00+00:00,66.4239,286.33,718.04,58.28,7749.4541,122.5015,13.43,14.5775,0.12375
2026-03-21T10:25:00+00:00,104.1337,328.31,1140.0,100.0,3751.2616,128.9273,12.34,23.6884,0.12375
2026-03-21T10:30:00+00:00,56.8529,383.47,801.23,66.93,3839.5245,88.1505,12.86,15.111,0.12375
2026-03-21T10:35:00+00:00,30.4641,228.37,683.18,50.76,8136.3156,109.474,12.11,9.2948,0.12375
2026-03-21T10:40:00+00:00,83.6396,231.42,711.24,72.46,5976.6341,162.8329,12.88,18.5365,0.12375
2026-03-21T10:45:00+00:00,96.3301,528.89,1140.0,100.0,8892.6033,65.4726,13.88,23.8611,0.12375
2026-03-21T10:50:00+00:00,11.3131,18.51,100.16,38.59,1047.8188,3.2688,15.0,0.9736,0.12375
2026-03-21T10:55:00+00:00,17.3171,12.46,200.76,22.14,1082.8018,2.7845,15.23,1.3433,0.12375
2026-03-21T11:00:00+00:00,24.4947,10.91,158.93,18.99,947.4113,1.6461,15.12,1.5515,0.12375
2026-03-21T11:05:00+00:00,18.1854,11.23,111.59,12.23,630.9932,0.5285,14.66,1.7498,0.12375
2026-03-21T11:10:00+00:00,16.7911,16.19,64.81,24.25,1077.0171,4.1944,15.11,1.3062,0.12375
2026-03-21T11:15:00+00:00,28.2688,10.0,153.64,24.84,1037.6389,2.6995,15.01,1.549,0.12375
2026-03-21T11:20:00+00:00,13.5798,14.84,225.88,29.24,1229.5771,0.0372,14.97,0.8682,0.12375
2026-03-21T11:25:00+00:00,15.0746,16.24,236.23,30.08,1313.5296,1.6126,14.98,1.2203,0.12375
2026-03-21T11:30:00+00:00,21.1318,13.24,176.07,22.33,955.0884,1.4866,15.03,1.1306,0.12375
2026-03-21T11:35:00+00:00,22.2062,17.19,249.34,27.6,565.5821,2.0707,14.85,1.3338,0.12375
2026-03-21T11:40:00+00:00,22.8416,12.46,157.91,18.8,1315.6001,1.6032,14.95,1.7144,0.12375
2026-03-21T11:45:00+00:00,25.3309,12.78,203.34,27.47,617.9318,0.8511,15.22,1.306,0.12375
2026-03-21T11:50:00+00:00,21.055,10.03,139.29,20.16,956.9604,5.1692,14.85,0.9498,0.12375
2026-03-21T11:55:00+00:00,22.7998,17.21,136.4,26.92,808.2859,0.3123,14.78,0.852,0.12375
2026-03-21T12:00:00+00:00,16.4447,10.0,121.11,24.65,692.3437,3.4128,14.97,1.6937,0.12375
2026-03-21T12:05:00+00:00,18.3762,13.26,58.04,22.48,991.075,6.3734,14.76,1.3541,0.12375
2026-03-21T12:10:00+00:00,18.6452,11.74,210.69,27.56,861.1149,4.1545,14.64,1.3344,0.12375
2026-03-21T12:15:00+00:00,19.2906,10.0,122.74,11.01,928.3104,1.9369,14.92,1.0969,0.12375
2026-03-21T12:20:00+00:00,22.6352,10.0,115.45,14.55,596.0784,0.2681,15.27,1.2804,0.12375
2026-03-21T12:25:00+00:00,21.3309,16.98,98.19,20.11,756.4813,0.7241,14.98,0.9039,0.12375
2026-03-21T12:30:00+00:00,18.2653,12.73,142.68,11.9,607.6163,1.1769,15.02,1.3162,0.12375
2026-03-21T12:35:00+00:00,13.1452,10.0,232.42,19.15,750.2321,0.626,14.56,0.8475,0.12375
2026-03-21T12:40:00+00:00,18.406,13.1,247.48,19.38,770.3094,0.5609,15.07,1.0922,0.12375
2026-03-21T12:45:00+00:00,17.8319,11.47,76.26,31.17,1261.076,1.3474,15.0,1.0071,0.12375
2026-03-21T12:50:00+00:00,19.1591,24.43,135.84,23.0,735.1529,1.7955,14.85,0.2228,0.12375
2026-03-21T12:55:00+00:00,31.2392,13.03,104.83,29.21,268.6004,2.9704,15.02,1.096,0.12375
2026-03-21T13:00:00+00:00,12.9939,10.0,189.2,22.4,1076.3036,0.4756,15.02,0.8993,0.12375
2026-03-21T13:05:00+00:00,18.6702,15.56,157.2,16.54,839.8455,0.6355,14.77,1.1058,0.12375
2026-03-21T13:10:00+00:00,22.5473,10.0,115.1,21.23,694.7781,1.6807,15.05,1.1695,0.12375
2026-03-21T13:15:00+00:00,16.7245,10.79,147.44,25.4,618.2268,1.609,15.22,1.6993,0.12375
2026-03-21T13:20:00+00:00,30.1636,17.63,122.36,28.65,490.7993,5.6728,14.94,1.2604,0.12375
2026-03-21T13:25:00+00:00,13.8683,10.03,217.74,19.37,1212.0427,2.4645,14.81,1.2692,0.12375
2026-03-21T13:30:00+00:00,18.081,10.0,169.07,8.76,740.4919,1.2272,14.95,1.3176,0.12375
2026-03-21T13:35:00+00:00,11.3437,10.0,174.68,8.27,293.0929,2.8364,15.15,1.4305,0.12375
2026-03-21T13:40:00+00:00,14.0274,15.68,22.52,18.01,809.4657,3.0913,14.74,1.3052,0.12375
2026-03-21T13:45:00+00:00,17.6301,11.8,141.09,3.93,1029.0736,1.7497,15.1,1.2535,0.12375
2026-03-21T13:50:00+00:00,21.2143,10.0,239.13,32.86,766.6393,0.4268,14.85,1.3823,0.12375
2026-03-21T13:55:00+00:00,18.0511,10.0,204.6,24.47,502.1323,5.5161,15.03,0.441,0.12375
2026-03-21T14:00:00+00:00,21.9547,10.0,52.57,14.25,412.2314,0.1398,14.87,1.7667,0.12375
2026-03-21T14:05:00+00:00,13.8302,10.3,122.51,10.93,430.6703,3.3215,14.87,1.6169,0.12375
2026-03-21T14:10:00+00:00,12.407,13.82,82.01,25.9,1040.4145,2.4001,15.29,1.2051,0.12375
2026-03-21T14:15:00+00:00,30.6239,12.79,214.83,10.9,642.084,3.2016,14.7,0.7161,0.12375
2026-03-21T14:20:00+00:00,16.7654,10.64,147.94,11.57,240.3189,5.4137,15.08,1.5031,0.12375
2026-03-21T14:25:00+00:00,10.0831,10.0,101.79,13.34,756.0335,3.1233,15.33,0.9318,0.12375
2026-03-21T14:30:00+00:00,10.2344,10.0,138.36,19.5,695.2592,0.8827,15.12,1.3002,0.12375
2026-03-21T14:35:00+00:00,8.7439,10.92,17.9,23.05,547.7761,4.212,14.72,0.7551,0.12375
2026-03-21T14:40:00+00:00,20.0194,10.0,87.33,27.05,404.8983,0.7378,14.73,1.8079,0.12375
2026-03-21T14:45:00+00:00,12.2137,10.0,138.46,26.01,394.0263,2.3271,14.83,0.7073,0.12375
2026-03-21T14:50:00+00:00,15.1642,10.09,175.36,18.71,931.6585,0.5862,15.01,1.1607,0.12375
2026-03-21T14:55:00+00:00,14.0189,10.0,48.28,25.84,721.8782,0.0666,15.03,0.5033,0.12375
2026-03-21T15:00:00+00:00,17.2978,10.0,113.12,12.64,721.671,2.1028,14.73,1.1028,0.12375
2026-03-21T15:05:00+00:00,7.8284,10.0,176.55,4.59,663.1998,2.7362,14.81,0.9876,0.12375
2026-03-21T15:10:00+00:00,6.4554,10.0,64.32,12.64,683.9323,1.4048,14.82,1.4563,0.12375
2026-03-21T15:15:00+00:00,14.2546,11.58,140.95,11.69,484.9114,2.9946,14.95,0.9875,0.12375
2026-03-21T15:20:00+00:00,16.5146,10.0,133.51,12.91,550.5528,0.3611,15.38,1.4567,0.12375
2026-03-21T15:25:00+00:00,14.904,10.0,208.68,10.62,893.2381,4.5594,14.79,0.8079,0.12375
2026-03-21T15:30:00+00:00,8.0521,10.0,120.01,14.11,955.6576,1.2961,14.79,1.0306,0.12375
2026-03-21T15:35:00+00:00,16.9737,10.0,122.68,21.67,296.4871,0.2472,14.75,1.0366,0.12375
2026-03-21T15:40:00+00:00,8.4457,10.0,169.49,29.34,549.9454,2.1516,15.11,1.2638,0.12375
2026-03-21T15:45:00+00:00,9.7796,10.0,70.02,5.26,811.8314,0.1675,14.97,1.2257,0.12375
2026-03-21T15:50:00+00:00,7.2451,10.0,120.43,8.32,1072.53,4.5379,14.8,1.3318,0.12375
2026-03-21T15:55:00+00:00,20.7158,10.0,109.72,11.79,1047.5,2.0011,14.91,1.1952,0.12375
2026-03-21T16:00:00+00:00,15.5651,10.0,119.34,21.64,358.5734,1.6966,14.82,1.2945,0.12375
2026-03-21T16:05:00+00:00,15.3946,11.14,164.36,14.85,876.2744,3.1836,15.04,0.8267,0.12375
2026-03-21T16:10:00+00:00,19.2479,10.0,150.94,11.22,572.172,0.0099,15.52,1.2127,0.12375
2026-03-21T16:15:00+00:00,28.6405,10.0,91.53,21.3,818.617,0.5783,15.09,1.5785,0.12375
2026-03-21T16:20:00+00:00,1.5093,15.28,131.91,22.98,754.5826,2.8167,14.96,0.5921,0.12375
2026-03-21T16:25:00+00:00,7.3344,10.0,193.64,16.15,241.5219,0.1993,14.85,1.2428,0.12375
2026-03-21T16:30:00+00:00,8.0676,10.0,87.76,10.57,695.0064,0.2,14.71,1.2991,0.12375
2026-03-21T16:35:00+00:00,6.6597,10.0,132.29,18.18,808.937,3.6735,15.13,1.5344,0.12375
2026-03-21T16:40:00+00:00,5.2991,10.0,116.86,14.65,552.4741,3.0501,15.12,1.3139,0.12375
2026-03-21T16:45:00+00:00,9.9667,10.0,122.8,14.6,495.9338,0.5077,14.89,1.1262,0.12375
2026-03-21T16:50:00+00:00,4.465,14.44,51.31,12.7,164.5969,0.7617,15.22,1.2251,0.12375
2026-03-21T16:55:00+00:00,13.7749,10.42,190.0,22.76,728.4173,0.1925,14.98,0.8756,0.12375
2026-03-21T17:00:00+00:00,11.3555,10.0,87.33,17.37,581.7279,5.5526,15.13,0.9677,0.12375
2026-03-21T17:05:00+00:00,13.9315,10.0,169.42,22.87,298.9948,3.812,15.04,0.6834,0.12375
2026-03-21T17:10:00+00:00,14.0917,10.0,94.3,24.98,448.0808,1.1583,14.94,1.5302,0.12375
2026-03-21T17:15:00+00:00,14.6634,10.8,94.11,18.84,568.1666,3.1524,14.79,1.2191,0.12375
2026-03-21T17:20:00+00:00,8.8049,10.0,177.95,12.08,389.8818,0.7124,14.95,0.8093,0.12375
2026-03-21T17:25:00+00:00,23.7722,10.0,167.96,22.91,530.2101,0.6547,15.15,1.1655,0.12375
2026-03-21T17:30:00+00:00,12.4519,10.0,132.15,18.88,92.0576,2.2097,14.88,1.4319,0.12375
2026-03-21T17:35:00+00:00,0.1,10.0,157.34,33.85,866.8962,2.9045,15.07,1.3819,0.12375
2026-03-21T17:40:00+00:00,5.0311,10.0,109.48,17.8,533.5181,1.8051,14.76,0.8058,0.12375
2026-03-21T17:45:00+00:00,0.6023,10.0,122.25,20.51,254.7024,2.496,15.13,0.1439,0.12375
2026-03-21T17:50:00+00:00,11.1493,10.0,92.47,17.66,0.1,2.1567,15.04,1.2027,0.12375
2026-03-21T17:55:00+00:00,10.3145,10.0,163.86,14.93,786.8245,1.6728,14.74,0.818,0.12375
2026-03-21T18:00:00+00:00,7.9894,13.63,89.98,13.59,659.5229,1.4077,14.93,1.2667,0.12375
2026-03-21T18:05:00+00:00,22.8656,11.0,189.32,17.46,572.6714,1.1475,15.16,1.3651,0.12375
2026-03-21T18:10:00+00:00,14.0939,10.0,107.2,19.05,735.912,2.4639,14.73,1.4141,0.12375
2026-03-21T18:15:00+00:00,15.1566,10.0,122.54,23.48,735.2246,2.8216,14.76,1.6034,0.12375
2026-03-21T18:20:00+00:00,5.2136,10.0,156.2,17.56,568.6095,2.3967,14.96,1.4509,0.12375
2026-03-21T18:25:00+00:00,4.8051,10.04,122.69,12.16,456.4464,0.3572,15.4,1.6049,0.12375
2026-03-21T18:30:00+00:00,11.0208,10.0,108.02,13.11,415.7146,0.0021,14.84,1.4937,0.12375
2026-03-21T18:35:00+00:00,11.838,10.0,120.23,6.14,625.2355,2.7978,15.08,1.5199,0.12375
2026-03-21T18:40:00+00:00,0.1,10.0,162.36,27.03,869.2578,4.9433,15.03,1.0677,0.12375
2026-03-21T18:45:00+00:00,9.7182,10.0,91.37,11.61,494.2742,2.3048,14.86,0.6932,0.12375
2026-03-21T18:50:00+00:00,10.8844,10.0,115.84,22.17,889.1194,1.1767,15.01,1.8247,0.12375
2026-03-21T18:55:00+00:00,9.5091,10.0,122.07,17.34,613.2881,2.4487,14.89,1.0989,0.12375
2026-03-21T19:00:00+00:00,6.165,11.17,162.06,17.75,624.7135,0.2736,14.91,1.4527,0.12375
2026-03-21T19:05:00+00:00,7.8081,10.56,118.08,14.8,1130.8181,4.6179,14.64,0.919,0.12375
2026-03-21T19:10:00+00:00,9.9842,10.0,205.09,10.11,942.7103,2.3732,14.97,1.3733,0.12375
2026-03-21T19:15:00+00:00,11.5901,12.39,115.5,8.85,949.1931,0.6611,15.16,0.3506,0.12375
2026-03-21T19:20:00+00:00,14.6741,10.0,111.8,27.72,330.1374,1.6664,14.99,0.961,0.12375
2026-03-21T19:25:00+00:00,17.5305,12.05,114.84,16.42,1077.5864,0.9459,15.19,1.0546,0.12375
2026-03-21T19:30:00+00:00,9.2792,10.0,62.6,23.5,508.9866,4.6233,15.09,1.2229,0.12375
2026-03-21T19:35:00+00:00,8.3084,17.98,75.36,25.32,472.668,1.5955,14.96,1.4057,0.12375
2026-03-21T19:40:00+00:00,13.6713,10.0,98.44,12.75,0.1,2.3107,14.85,0.7558,0.12375
2026-03-21T19:45:00+00:00,14.7104,10.0,174.43,18.59,611.1135,3.1475,14.88,1.2821,0.12375
2026-03-21T19:50:00+00:00,8.4401,10.0,121.13,15.94,258.7023,0.5185,14.68,1.4521,0.12375
